Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,51.570000,51.570000,51.139999,51.189999,48.632874,2402500
2019-10-02,50.700001,50.700001,50.209999,50.389999,47.872837,1946600
2019-10-03,50.410000,50.779999,50.240002,50.779999,48.243359,1838700
2019-10-04,50.799999,51.150002,50.730000,51.119999,48.566376,1045500
2019-10-07,51.020000,51.209999,50.950001,50.950001,48.404865,1164400
2019-10-08,50.689999,50.779999,50.490002,50.520000,47.996342,1762600
2019-10-09,50.869999,51.000000,50.779999,50.919998,48.376362,1151900
2019-10-10,50.970001,51.349998,50.910000,51.299999,48.737381,1809400
2019-10-11,52.000000,52.389999,52.000000,52.119999,49.516418,1815000
2019-10-14,51.910000,52.020000,51.830002,51.910000,49.316910,913100
2019-10-15,52.090000,52.619999,52.080002,52.450001,49.829933,1364400
2019-10-16,52.430000,52.619999,52.349998,52.560001,49.934441,1465200
2019-10-17,52.830002,52.849998,52.570000,52.700001,50.067444,1373100
2019-10-18,52.650002,52.700001,52.430000,52.599998,49.972443,892100
2019-10-21,52.950001,52.959999,52.860001,52.919998,50.276459,978100
2019-10-22,53.000000,53.119999,52.840000,52.869999,50.228951,1532300
2019-10-23,52.900002,53.070000,52.849998,53.060001,50.409466,1543200
2019-10-24,53.270000,53.270000,53.049999,53.150002,50.494965,1139700
2019-10-25,53.020000,53.279999,53.020000,53.259998,50.599476,1094700
2019-10-28,53.369999,53.540001,53.369999,53.490002,50.817982,1720400
2019-10-29,53.220001,53.430000,53.209999,53.400002,50.732483,1002200
2019-10-30,53.349998,53.599998,53.099998,53.599998,50.922489,1648500
2019-10-31,53.480000,53.480000,53.189999,53.430000,50.760979,1273600
2019-11-01,53.790001,53.950001,53.750000,53.950001,51.255009,1499200
2019-11-04,54.349998,54.410000,54.209999,54.259998,51.549519,1988100
2019-11-05,54.369999,54.389999,54.189999,54.349998,51.635017,1534300
2019-11-06,54.320000,54.369999,54.160000,54.259998,51.549519,1662700
2019-11-07,54.580002,54.610001,54.450001,54.470001,51.749031,1718600
2019-11-08,54.250000,54.340000,54.090000,54.340000,51.625526,1470600
2019-11-11,53.980000,54.189999,53.840000,54.160000,51.454514,1332900
2019-11-12,54.169998,54.259998,54.049999,54.099998,51.397514,1051600
2019-11-13,53.740002,53.950001,53.650002,53.900002,51.207500,1355200
2019-11-14,53.740002,53.860001,53.660000,53.840000,51.150501,1034200
2019-11-15,54.020000,54.220001,54.020000,54.200001,51.492523,1378600
2019-11-18,54.110001,54.290001,54.060001,54.230000,51.521015,1336500
2019-11-19,54.430000,54.450001,54.139999,54.189999,51.483013,1774700
2019-11-20,54.000000,54.080002,53.730000,53.910000,51.217003,1647300
2019-11-21,53.889999,53.889999,53.669998,53.810001,51.121998,987500
2019-11-22,53.970001,54.020000,53.799999,53.919998,51.226498,1366200
2019-11-25,54.169998,54.330002,54.040001,54.320000,51.606514,1279300
2019-11-26,54.250000,54.349998,54.150002,54.320000,51.606514,1476900
2019-11-27,54.360001,54.450001,54.299999,54.439999,51.720528,1184300
2019-11-29,54.029999,54.070000,53.939999,53.959999,51.264503,826200
